onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
15.6864	0.0002	Stimulus/S128	2	78432	n/a	n/a
23.5272	0.0002	Stimulus/S128	2	117636	n/a	n/a
31.3686	0.0002	Stimulus/S128	2	156843	n/a	n/a
38.2028	0.0002	Stimulus/S128	2	191014	n/a	n/a
45.037	0.0002	Stimulus/S128	2	225185	n/a	n/a
52.8784	0.0002	Stimulus/S128	2	264392	n/a	n/a
60.7196	0.0002	Stimulus/S128	2	303598	n/a	n/a
66.5606	0.0002	Stimulus/S128	2	332803	n/a	n/a
72.4018	0.0002	Stimulus/S128	2	362009	n/a	n/a
80.243	0.0002	Stimulus/S128	2	401215	n/a	n/a
88.0844	0.0002	Stimulus/S128	2	440422	n/a	n/a
94.9186	0.0002	Stimulus/S128	2	474593	n/a	n/a
102.7598	0.0002	Stimulus/S128	2	513799	n/a	n/a
108.6008	0.0002	Stimulus/S128	2	543004	n/a	n/a
115.435	0.0002	Stimulus/S128	2	577175	n/a	n/a
121.2762	0.0002	Stimulus/S128	2	606381	n/a	n/a
127.1172	0.0002	Stimulus/S128	2	635586	n/a	n/a
132.9582	0.0002	Stimulus/S128	2	664791	n/a	n/a
139.7926	0.0002	Stimulus/S128	2	698963	n/a	n/a
147.6338	0.0002	Stimulus/S128	2	738169	n/a	n/a
154.468	0.0002	Stimulus/S128	2	772340	n/a	n/a
162.3092	0.0002	Stimulus/S128	2	811546	n/a	n/a
169.1434	0.0002	Stimulus/S128	2	845717	n/a	n/a
174.9846	0.0002	Stimulus/S128	2	874923	n/a	n/a
180.8256	0.0002	Stimulus/S128	2	904128	n/a	n/a
188.6668	0.0002	Stimulus/S128	2	943334	n/a	n/a
195.501	0.0002	Stimulus/S128	2	977505	n/a	n/a
202.3354	0.0002	Stimulus/S128	2	1011677	n/a	n/a
209.1694	0.0002	Stimulus/S128	2	1045847	n/a	n/a
216.0038	0.0002	Stimulus/S128	2	1080019	n/a	n/a
221.8448	0.0002	Stimulus/S128	2	1109224	n/a	n/a
227.6858	0.0002	Stimulus/S128	2	1138429	n/a	n/a
235.5272	0.0002	Stimulus/S128	2	1177636	n/a	n/a
243.3684	0.0002	Stimulus/S128	2	1216842	n/a	n/a
250.2026	0.0002	Stimulus/S128	2	1251013	n/a	n/a
256.0436	0.0002	Stimulus/S128	2	1280218	n/a	n/a
262.8778	0.0002	Stimulus/S128	2	1314389	n/a	n/a
269.712	0.0002	Stimulus/S128	2	1348560	n/a	n/a
276.5464	0.0002	Stimulus/S128	2	1382732	n/a	n/a
284.3876	0.0002	Stimulus/S128	2	1421938	n/a	n/a
292.229	0.0002	Stimulus/S128	2	1461145	n/a	n/a
300.0712	0.0002	Stimulus/S128	2	1500356	n/a	n/a
307.9116	0.0002	Stimulus/S128	2	1539558	n/a	n/a
313.7526	0.0002	Stimulus/S128	2	1568763	n/a	n/a
319.5936	0.0002	Stimulus/S128	2	1597968	n/a	n/a
325.4346	0.0002	Stimulus/S128	2	1627173	n/a	n/a
332.2688	0.0002	Stimulus/S128	2	1661344	n/a	n/a
339.1032	0.0002	Stimulus/S128	2	1695516	n/a	n/a
344.9442	0.0002	Stimulus/S128	2	1724721	n/a	n/a
350.7852	0.0002	Stimulus/S128	2	1753926	n/a	n/a
357.6194	0.0002	Stimulus/S128	2	1788097	n/a	n/a
363.4674	0.0002	Stimulus/S128	2	1817337	n/a	n/a
371.3086	0.0002	Stimulus/S128	2	1856543	n/a	n/a
377.1498	0.0002	Stimulus/S128	2	1885749	n/a	n/a
