onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
13.5288	0.0002	Stimulus/S128	2	67644	n/a	n/a
21.363	0.0002	Stimulus/S128	2	106815	n/a	n/a
28.1972	0.0002	Stimulus/S128	2	140986	n/a	n/a
35.0314	0.0002	Stimulus/S128	2	175157	n/a	n/a
40.8656	0.0002	Stimulus/S128	2	204328	n/a	n/a
46.6996	0.0002	Stimulus/S128	2	233498	n/a	n/a
53.5338	0.0002	Stimulus/S128	2	267669	n/a	n/a
61.3682	0.0002	Stimulus/S128	2	306841	n/a	n/a
68.2024	0.0002	Stimulus/S128	2	341012	n/a	n/a
76.0368	0.0002	Stimulus/S128	2	380184	n/a	n/a
83.8712	0.0002	Stimulus/S128	2	419356	n/a	n/a
90.7054	0.0002	Stimulus/S128	2	453527	n/a	n/a
96.5394	0.0002	Stimulus/S128	2	482697	n/a	n/a
102.3736	0.0002	Stimulus/S128	2	511868	n/a	n/a
109.2078	0.0002	Stimulus/S128	2	546039	n/a	n/a
115.0418	0.0002	Stimulus/S128	2	575209	n/a	n/a
122.8762	0.0002	Stimulus/S128	2	614381	n/a	n/a
128.7102	0.0002	Stimulus/S128	2	643551	n/a	n/a
134.5446	0.0002	Stimulus/S128	2	672723	n/a	n/a
140.3786	0.0002	Stimulus/S128	2	701893	n/a	n/a
147.2126	0.0002	Stimulus/S128	2	736063	n/a	n/a
155.047	0.0002	Stimulus/S128	2	775235	n/a	n/a
162.8814	0.0002	Stimulus/S128	2	814407	n/a	n/a
169.7156	0.0002	Stimulus/S128	2	848578	n/a	n/a
177.5514	0.0002	Stimulus/S128	2	887757	n/a	n/a
185.3844	0.0002	Stimulus/S128	2	926922	n/a	n/a
192.2186	0.0002	Stimulus/S128	2	961093	n/a	n/a
200.053	0.0002	Stimulus/S128	2	1000265	n/a	n/a
207.8872	0.0002	Stimulus/S128	2	1039436	n/a	n/a
213.7214	0.0002	Stimulus/S128	2	1068607	n/a	n/a
220.5556	0.0002	Stimulus/S128	2	1102778	n/a	n/a
226.3898	0.0002	Stimulus/S128	2	1131949	n/a	n/a
232.2238	0.0002	Stimulus/S128	2	1161119	n/a	n/a
240.0582	0.0002	Stimulus/S128	2	1200291	n/a	n/a
245.8922	0.0002	Stimulus/S128	2	1229461	n/a	n/a
251.7262	0.0002	Stimulus/S128	2	1258631	n/a	n/a
259.5608	0.0002	Stimulus/S128	2	1297804	n/a	n/a
266.395	0.0002	Stimulus/S128	2	1331975	n/a	n/a
272.229	0.0002	Stimulus/S128	2	1361145	n/a	n/a
278.0632	0.0002	Stimulus/S128	2	1390316	n/a	n/a
285.8974	0.0002	Stimulus/S128	2	1429487	n/a	n/a
292.7316	0.0002	Stimulus/S128	2	1463658	n/a	n/a
299.5658	0.0002	Stimulus/S128	2	1497829	n/a	n/a
306.4002	0.0002	Stimulus/S128	2	1532001	n/a	n/a
313.2344	0.0002	Stimulus/S128	2	1566172	n/a	n/a
321.0688	0.0002	Stimulus/S128	2	1605344	n/a	n/a
326.9028	0.0002	Stimulus/S128	2	1634514	n/a	n/a
334.7372	0.0002	Stimulus/S128	2	1673686	n/a	n/a
342.5716	0.0002	Stimulus/S128	2	1712858	n/a	n/a
349.4058	0.0002	Stimulus/S128	2	1747029	n/a	n/a
355.2398	0.0002	Stimulus/S128	2	1776199	n/a	n/a
361.0738	0.0002	Stimulus/S128	2	1805369	n/a	n/a
367.9082	0.0002	Stimulus/S128	2	1839541	n/a	n/a
374.7422	0.0002	Stimulus/S128	2	1873711	n/a	n/a
