onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
11.452	0.0002	Stimulus/S128	2	57260	n/a	n/a
19.5462	0.0002	Stimulus/S128	2	97731	n/a	n/a
26.6134	0.0002	Stimulus/S128	2	133067	n/a	n/a
34.6978	0.0002	Stimulus/S128	2	173489	n/a	n/a
41.7752	0.0002	Stimulus/S128	2	208876	n/a	n/a
48.8386	0.0002	Stimulus/S128	2	244193	n/a	n/a
56.916	0.0002	Stimulus/S128	2	284580	n/a	n/a
63.9866	0.0002	Stimulus/S128	2	319933	n/a	n/a
71.05	0.0002	Stimulus/S128	2	355250	n/a	n/a
77.1202	0.0002	Stimulus/S128	2	385601	n/a	n/a
85.2044	0.0002	Stimulus/S128	2	426022	n/a	n/a
91.2678	0.0002	Stimulus/S128	2	456339	n/a	n/a
99.359	0.0002	Stimulus/S128	2	496795	n/a	n/a
105.4294	0.0002	Stimulus/S128	2	527147	n/a	n/a
111.4996	0.0002	Stimulus/S128	2	557498	n/a	n/a
117.5698	0.0002	Stimulus/S128	2	587849	n/a	n/a
125.6334	0.0002	Stimulus/S128	2	628167	n/a	n/a
132.7038	0.0002	Stimulus/S128	2	663519	n/a	n/a
140.7746	0.0002	Stimulus/S128	2	703873	n/a	n/a
146.8724	0.0002	Stimulus/S128	2	734362	n/a	n/a
153.941	0.0002	Stimulus/S128	2	769705	n/a	n/a
161.006	0.0002	Stimulus/S128	2	805030	n/a	n/a
168.0694	0.0002	Stimulus/S128	2	840347	n/a	n/a
176.14	0.0002	Stimulus/S128	2	880700	n/a	n/a
183.2104	0.0002	Stimulus/S128	2	916052	n/a	n/a
190.2808	0.0002	Stimulus/S128	2	951404	n/a	n/a
196.3718	0.0002	Stimulus/S128	2	981859	n/a	n/a
203.4422	0.0002	Stimulus/S128	2	1017211	n/a	n/a
211.5126	0.0002	Stimulus/S128	2	1057563	n/a	n/a
219.5762	0.0002	Stimulus/S128	2	1097881	n/a	n/a
225.6464	0.0002	Stimulus/S128	2	1128232	n/a	n/a
231.7098	0.0002	Stimulus/S128	2	1158549	n/a	n/a
237.773	0.0002	Stimulus/S128	2	1188865	n/a	n/a
244.8436	0.0002	Stimulus/S128	2	1224218	n/a	n/a
252.907	0.0002	Stimulus/S128	2	1264535	n/a	n/a
258.9772	0.0002	Stimulus/S128	2	1294886	n/a	n/a
265.0406	0.0002	Stimulus/S128	2	1325203	n/a	n/a
273.104	0.0002	Stimulus/S128	2	1365520	n/a	n/a
281.1814	0.0002	Stimulus/S128	2	1405907	n/a	n/a
287.2586	0.0002	Stimulus/S128	2	1436293	n/a	n/a
294.3222	0.0002	Stimulus/S128	2	1471611	n/a	n/a
301.3858	0.0002	Stimulus/S128	2	1506929	n/a	n/a
307.4488	0.0002	Stimulus/S128	2	1537244	n/a	n/a
315.5334	0.0002	Stimulus/S128	2	1577667	n/a	n/a
322.6036	0.0002	Stimulus/S128	2	1613018	n/a	n/a
328.6878	0.0002	Stimulus/S128	2	1643439	n/a	n/a
336.7512	0.0002	Stimulus/S128	2	1683756	n/a	n/a
344.8218	0.0002	Stimulus/S128	2	1724109	n/a	n/a
352.8854	0.0002	Stimulus/S128	2	1764427	n/a	n/a
360.956	0.0002	Stimulus/S128	2	1804780	n/a	n/a
367.0262	0.0002	Stimulus/S128	2	1835131	n/a	n/a
373.0894	0.0002	Stimulus/S128	2	1865447	n/a	n/a
380.186	0.0002	Stimulus/S128	2	1900930	n/a	n/a
387.258	0.0002	Stimulus/S128	2	1936290	n/a	n/a
