onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
8.1938	0.0002	Stimulus/S128	2	40969	n/a	n/a
16.2574	0.0002	Stimulus/S128	2	81287	n/a	n/a
22.3206	0.0002	Stimulus/S128	2	111603	n/a	n/a
30.3982	0.0002	Stimulus/S128	2	151991	n/a	n/a
38.4616	0.0002	Stimulus/S128	2	192308	n/a	n/a
46.532	0.0002	Stimulus/S128	2	232660	n/a	n/a
54.6026	0.0002	Stimulus/S128	2	273013	n/a	n/a
61.666	0.0002	Stimulus/S128	2	308330	n/a	n/a
67.7292	0.0002	Stimulus/S128	2	338646	n/a	n/a
73.7924	0.0002	Stimulus/S128	2	368962	n/a	n/a
80.8698	0.0002	Stimulus/S128	2	404349	n/a	n/a
87.9332	0.0002	Stimulus/S128	2	439666	n/a	n/a
96.0202	0.0002	Stimulus/S128	2	480101	n/a	n/a
103.1018	0.0002	Stimulus/S128	2	515509	n/a	n/a
110.1652	0.0002	Stimulus/S128	2	550826	n/a	n/a
117.2288	0.0002	Stimulus/S128	2	586144	n/a	n/a
124.299	0.0002	Stimulus/S128	2	621495	n/a	n/a
130.3694	0.0002	Stimulus/S128	2	651847	n/a	n/a
136.4326	0.0002	Stimulus/S128	2	682163	n/a	n/a
144.51	0.0002	Stimulus/S128	2	722550	n/a	n/a
151.5804	0.0002	Stimulus/S128	2	757902	n/a	n/a
157.6436	0.0002	Stimulus/S128	2	788218	n/a	n/a
163.707	0.0002	Stimulus/S128	2	818535	n/a	n/a
169.7702	0.0002	Stimulus/S128	2	848851	n/a	n/a
175.8474	0.0002	Stimulus/S128	2	879237	n/a	n/a
183.918	0.0002	Stimulus/S128	2	919590	n/a	n/a
189.9812	0.0002	Stimulus/S128	2	949906	n/a	n/a
196.0446	0.0002	Stimulus/S128	2	980223	n/a	n/a
204.122	0.0002	Stimulus/S128	2	1020610	n/a	n/a
210.1852	0.0002	Stimulus/S128	2	1050926	n/a	n/a
216.2486	0.0002	Stimulus/S128	2	1081243	n/a	n/a
222.3258	0.0002	Stimulus/S128	2	1111629	n/a	n/a
229.396	0.0002	Stimulus/S128	2	1146980	n/a	n/a
236.4666	0.0002	Stimulus/S128	2	1182333	n/a	n/a
243.5438	0.0002	Stimulus/S128	2	1217719	n/a	n/a
250.621	0.0002	Stimulus/S128	2	1253105	n/a	n/a
258.6846	0.0002	Stimulus/S128	2	1293423	n/a	n/a
266.7482	0.0002	Stimulus/S128	2	1333741	n/a	n/a
272.8114	0.0002	Stimulus/S128	2	1364057	n/a	n/a
280.875	0.0002	Stimulus/S128	2	1404375	n/a	n/a
288.9386	0.0002	Stimulus/S128	2	1444693	n/a	n/a
297.0022	0.0002	Stimulus/S128	2	1485011	n/a	n/a
304.0656	0.0002	Stimulus/S128	2	1520328	n/a	n/a
311.129	0.0002	Stimulus/S128	2	1555645	n/a	n/a
318.1924	0.0002	Stimulus/S128	2	1590962	n/a	n/a
326.263	0.0002	Stimulus/S128	2	1631315	n/a	n/a
332.333	0.0002	Stimulus/S128	2	1661665	n/a	n/a
338.4034	0.0002	Stimulus/S128	2	1692017	n/a	n/a
345.4668	0.0002	Stimulus/S128	2	1727334	n/a	n/a
353.5442	0.0002	Stimulus/S128	2	1767721	n/a	n/a
361.6148	0.0002	Stimulus/S128	2	1808074	n/a	n/a
367.6918	0.0002	Stimulus/S128	2	1838459	n/a	n/a
375.7694	0.0002	Stimulus/S128	2	1878847	n/a	n/a
382.8398	0.0002	Stimulus/S128	2	1914199	n/a	n/a
