onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
6.2912	0.0002	Stimulus/S128	2	31456	n/a	n/a
13.1254	0.0002	Stimulus/S128	2	65627	n/a	n/a
19.9596	0.0002	Stimulus/S128	2	99798	n/a	n/a
27.794	0.0002	Stimulus/S128	2	138970	n/a	n/a
35.6284	0.0002	Stimulus/S128	2	178142	n/a	n/a
41.4624	0.0002	Stimulus/S128	2	207312	n/a	n/a
47.2966	0.0002	Stimulus/S128	2	236483	n/a	n/a
54.1306	0.0002	Stimulus/S128	2	270653	n/a	n/a
61.965	0.0002	Stimulus/S128	2	309825	n/a	n/a
69.7994	0.0002	Stimulus/S128	2	348997	n/a	n/a
76.6336	0.0002	Stimulus/S128	2	383168	n/a	n/a
82.4676	0.0002	Stimulus/S128	2	412338	n/a	n/a
89.302	0.0002	Stimulus/S128	2	446510	n/a	n/a
95.136	0.0002	Stimulus/S128	2	475680	n/a	n/a
102.9704	0.0002	Stimulus/S128	2	514852	n/a	n/a
109.8046	0.0002	Stimulus/S128	2	549023	n/a	n/a
115.6386	0.0002	Stimulus/S128	2	578193	n/a	n/a
123.473	0.0002	Stimulus/S128	2	617365	n/a	n/a
130.3074	0.0002	Stimulus/S128	2	651537	n/a	n/a
138.1416	0.0002	Stimulus/S128	2	690708	n/a	n/a
145.9762	0.0002	Stimulus/S128	2	729881	n/a	n/a
152.8102	0.0002	Stimulus/S128	2	764051	n/a	n/a
159.6444	0.0002	Stimulus/S128	2	798222	n/a	n/a
165.4786	0.0002	Stimulus/S128	2	827393	n/a	n/a
172.3128	0.0002	Stimulus/S128	2	861564	n/a	n/a
178.1468	0.0002	Stimulus/S128	2	890734	n/a	n/a
183.981	0.0002	Stimulus/S128	2	919905	n/a	n/a
190.8152	0.0002	Stimulus/S128	2	954076	n/a	n/a
197.6494	0.0002	Stimulus/S128	2	988247	n/a	n/a
205.4838	0.0002	Stimulus/S128	2	1027419	n/a	n/a
211.3178	0.0002	Stimulus/S128	2	1056589	n/a	n/a
218.152	0.0002	Stimulus/S128	2	1090760	n/a	n/a
225.9864	0.0002	Stimulus/S128	2	1129932	n/a	n/a
233.8208	0.0002	Stimulus/S128	2	1169104	n/a	n/a
241.655	0.0002	Stimulus/S128	2	1208275	n/a	n/a
249.4894	0.0002	Stimulus/S128	2	1247447	n/a	n/a
255.3236	0.0002	Stimulus/S128	2	1276618	n/a	n/a
263.1578	0.0002	Stimulus/S128	2	1315789	n/a	n/a
268.992	0.0002	Stimulus/S128	2	1344960	n/a	n/a
275.8262	0.0002	Stimulus/S128	2	1379131	n/a	n/a
282.6604	0.0002	Stimulus/S128	2	1413302	n/a	n/a
290.4948	0.0002	Stimulus/S128	2	1452474	n/a	n/a
296.3288	0.0002	Stimulus/S128	2	1481644	n/a	n/a
304.1632	0.0002	Stimulus/S128	2	1520816	n/a	n/a
309.9974	0.0002	Stimulus/S128	2	1549987	n/a	n/a
316.8316	0.0002	Stimulus/S128	2	1584158	n/a	n/a
323.6658	0.0002	Stimulus/S128	2	1618329	n/a	n/a
329.4998	0.0002	Stimulus/S128	2	1647499	n/a	n/a
335.334	0.0002	Stimulus/S128	2	1676670	n/a	n/a
341.168	0.0002	Stimulus/S128	2	1705840	n/a	n/a
347.0022	0.0002	Stimulus/S128	2	1735011	n/a	n/a
354.8364	0.0002	Stimulus/S128	2	1774182	n/a	n/a
362.6708	0.0002	Stimulus/S128	2	1813354	n/a	n/a
368.5048	0.0002	Stimulus/S128	2	1842524	n/a	n/a
