onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
4.0156	0.0002	Stimulus/S128	2	20078	n/a	n/a
11.851	0.0002	Stimulus/S128	2	59255	n/a	n/a
19.686	0.0002	Stimulus/S128	2	98430	n/a	n/a
25.5264	0.0002	Stimulus/S128	2	127632	n/a	n/a
31.3676	0.0002	Stimulus/S128	2	156838	n/a	n/a
37.2084	0.0002	Stimulus/S128	2	186042	n/a	n/a
43.0496	0.0002	Stimulus/S128	2	215248	n/a	n/a
50.884	0.0002	Stimulus/S128	2	254420	n/a	n/a
56.7248	0.0002	Stimulus/S128	2	283624	n/a	n/a
64.5662	0.0002	Stimulus/S128	2	322831	n/a	n/a
71.4058	0.0002	Stimulus/S128	2	357029	n/a	n/a
78.2416	0.0002	Stimulus/S128	2	391208	n/a	n/a
84.0826	0.0002	Stimulus/S128	2	420413	n/a	n/a
90.9168	0.0002	Stimulus/S128	2	454584	n/a	n/a
96.7578	0.0002	Stimulus/S128	2	483789	n/a	n/a
102.599	0.0002	Stimulus/S128	2	512995	n/a	n/a
108.4414	0.0002	Stimulus/S128	2	542207	n/a	n/a
115.2812	0.0002	Stimulus/S128	2	576406	n/a	n/a
121.1222	0.0002	Stimulus/S128	2	605611	n/a	n/a
126.9632	0.0002	Stimulus/S128	2	634816	n/a	n/a
134.7976	0.0002	Stimulus/S128	2	673988	n/a	n/a
140.6386	0.0002	Stimulus/S128	2	703193	n/a	n/a
146.4796	0.0002	Stimulus/S128	2	732398	n/a	n/a
152.3208	0.0002	Stimulus/S128	2	761604	n/a	n/a
159.1548	0.0002	Stimulus/S128	2	795774	n/a	n/a
166.9892	0.0002	Stimulus/S128	2	834946	n/a	n/a
174.824	0.0002	Stimulus/S128	2	874120	n/a	n/a
182.658	0.0002	Stimulus/S128	2	913290	n/a	n/a
190.4922	0.0002	Stimulus/S128	2	952461	n/a	n/a
197.3266	0.0002	Stimulus/S128	2	986633	n/a	n/a
205.1608	0.0002	Stimulus/S128	2	1025804	n/a	n/a
213.0022	0.0002	Stimulus/S128	2	1065011	n/a	n/a
219.8364	0.0002	Stimulus/S128	2	1099182	n/a	n/a
227.6708	0.0002	Stimulus/S128	2	1138354	n/a	n/a
234.505	0.0002	Stimulus/S128	2	1172525	n/a	n/a
241.3392	0.0002	Stimulus/S128	2	1206696	n/a	n/a
249.1734	0.0002	Stimulus/S128	2	1245867	n/a	n/a
255.0184	0.0002	Stimulus/S128	2	1275092	n/a	n/a
262.8558	0.0002	Stimulus/S128	2	1314279	n/a	n/a
270.6902	0.0002	Stimulus/S128	2	1353451	n/a	n/a
277.5244	0.0002	Stimulus/S128	2	1387622	n/a	n/a
284.3586	0.0002	Stimulus/S128	2	1421793	n/a	n/a
290.1996	0.0002	Stimulus/S128	2	1450998	n/a	n/a
298.041	0.0002	Stimulus/S128	2	1490205	n/a	n/a
303.882	0.0002	Stimulus/S128	2	1519410	n/a	n/a
309.723	0.0002	Stimulus/S128	2	1548615	n/a	n/a
316.5578	0.0002	Stimulus/S128	2	1582789	n/a	n/a
323.3914	0.0002	Stimulus/S128	2	1616957	n/a	n/a
330.2256	0.0002	Stimulus/S128	2	1651128	n/a	n/a
338.0602	0.0002	Stimulus/S128	2	1690301	n/a	n/a
344.8942	0.0002	Stimulus/S128	2	1724471	n/a	n/a
351.7284	0.0002	Stimulus/S128	2	1758642	n/a	n/a
358.5626	0.0002	Stimulus/S128	2	1792813	n/a	n/a
365.3968	0.0002	Stimulus/S128	2	1826984	n/a	n/a
