onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
11.9578	0.0002	Stimulus/S128	2	59789	n/a	n/a
19.021	0.0002	Stimulus/S128	2	95105	n/a	n/a
25.0842	0.0002	Stimulus/S128	2	125421	n/a	n/a
33.1546	0.0002	Stimulus/S128	2	165773	n/a	n/a
39.218	0.0002	Stimulus/S128	2	196090	n/a	n/a
46.2814	0.0002	Stimulus/S128	2	231407	n/a	n/a
53.3518	0.0002	Stimulus/S128	2	266759	n/a	n/a
59.415	0.0002	Stimulus/S128	2	297075	n/a	n/a
65.4854	0.0002	Stimulus/S128	2	327427	n/a	n/a
71.5486	0.0002	Stimulus/S128	2	357743	n/a	n/a
77.6258	0.0002	Stimulus/S128	2	388129	n/a	n/a
85.7032	0.0002	Stimulus/S128	2	428516	n/a	n/a
92.7666	0.0002	Stimulus/S128	2	463833	n/a	n/a
99.8376	0.0002	Stimulus/S128	2	499188	n/a	n/a
107.9076	0.0002	Stimulus/S128	2	539538	n/a	n/a
113.9776	0.0002	Stimulus/S128	2	569888	n/a	n/a
121.0412	0.0002	Stimulus/S128	2	605206	n/a	n/a
129.1048	0.0002	Stimulus/S128	2	645524	n/a	n/a
135.2444	0.0002	Stimulus/S128	2	676222	n/a	n/a
143.3148	0.0002	Stimulus/S128	2	716574	n/a	n/a
149.392	0.0002	Stimulus/S128	2	746960	n/a	n/a
156.4556	0.0002	Stimulus/S128	2	782278	n/a	n/a
164.519	0.0002	Stimulus/S128	2	822595	n/a	n/a
172.5826	0.0002	Stimulus/S128	2	862913	n/a	n/a
178.6458	0.0002	Stimulus/S128	2	893229	n/a	n/a
186.7234	0.0002	Stimulus/S128	2	933617	n/a	n/a
193.8006	0.0002	Stimulus/S128	2	969003	n/a	n/a
201.8988	0.0002	Stimulus/S128	2	1009494	n/a	n/a
208.9762	0.0002	Stimulus/S128	2	1044881	n/a	n/a
216.0678	0.0002	Stimulus/S128	2	1080339	n/a	n/a
223.1378	0.0002	Stimulus/S128	2	1115689	n/a	n/a
231.2014	0.0002	Stimulus/S128	2	1156007	n/a	n/a
237.2646	0.0002	Stimulus/S128	2	1186323	n/a	n/a
245.3282	0.0002	Stimulus/S128	2	1226641	n/a	n/a
253.3916	0.0002	Stimulus/S128	2	1266958	n/a	n/a
259.462	0.0002	Stimulus/S128	2	1297310	n/a	n/a
266.581	0.0002	Stimulus/S128	2	1332905	n/a	n/a
274.6514	0.0002	Stimulus/S128	2	1373257	n/a	n/a
281.7356	0.0002	Stimulus/S128	2	1408678	n/a	n/a
288.806	0.0002	Stimulus/S128	2	1444030	n/a	n/a
294.8692	0.0002	Stimulus/S128	2	1474346	n/a	n/a
302.933	0.0002	Stimulus/S128	2	1514665	n/a	n/a
309.9964	0.0002	Stimulus/S128	2	1549982	n/a	n/a
316.0804	0.0002	Stimulus/S128	2	1580402	n/a	n/a
322.1506	0.0002	Stimulus/S128	2	1610753	n/a	n/a
330.221	0.0002	Stimulus/S128	2	1651105	n/a	n/a
336.3608	0.0002	Stimulus/S128	2	1681804	n/a	n/a
344.4244	0.0002	Stimulus/S128	2	1722122	n/a	n/a
350.4946	0.0002	Stimulus/S128	2	1752473	n/a	n/a
358.5582	0.0002	Stimulus/S128	2	1792791	n/a	n/a
365.6216	0.0002	Stimulus/S128	2	1828108	n/a	n/a
373.692	0.0002	Stimulus/S128	2	1868460	n/a	n/a
380.7624	0.0002	Stimulus/S128	2	1903812	n/a	n/a
386.845	0.0002	Stimulus/S128	2	1934225	n/a	n/a
