onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
5.5448	0.0002	Stimulus/S128	2	27724	n/a	n/a
13.6134	0.0002	Stimulus/S128	2	68067	n/a	n/a
21.6788	0.0002	Stimulus/S128	2	108394	n/a	n/a
28.756	0.0002	Stimulus/S128	2	143780	n/a	n/a
34.8264	0.0002	Stimulus/S128	2	174132	n/a	n/a
42.8968	0.0002	Stimulus/S128	2	214484	n/a	n/a
49.981	0.0002	Stimulus/S128	2	249905	n/a	n/a
57.0512	0.0002	Stimulus/S128	2	285256	n/a	n/a
64.1702	0.0002	Stimulus/S128	2	320851	n/a	n/a
71.239	0.0002	Stimulus/S128	2	356195	n/a	n/a
77.3108	0.0002	Stimulus/S128	2	386554	n/a	n/a
85.3814	0.0002	Stimulus/S128	2	426907	n/a	n/a
91.4588	0.0002	Stimulus/S128	2	457294	n/a	n/a
97.5288	0.0002	Stimulus/S128	2	487644	n/a	n/a
105.5924	0.0002	Stimulus/S128	2	527962	n/a	n/a
112.6558	0.0002	Stimulus/S128	2	563279	n/a	n/a
120.7192	0.0002	Stimulus/S128	2	603596	n/a	n/a
126.7964	0.0002	Stimulus/S128	2	633982	n/a	n/a
132.8668	0.0002	Stimulus/S128	2	664334	n/a	n/a
139.9442	0.0002	Stimulus/S128	2	699721	n/a	n/a
146.0282	0.0002	Stimulus/S128	2	730141	n/a	n/a
153.1126	0.0002	Stimulus/S128	2	765563	n/a	n/a
159.1896	0.0002	Stimulus/S128	2	795948	n/a	n/a
165.2528	0.0002	Stimulus/S128	2	826264	n/a	n/a
173.3234	0.0002	Stimulus/S128	2	866617	n/a	n/a
181.4062	0.0002	Stimulus/S128	2	907031	n/a	n/a
188.478	0.0002	Stimulus/S128	2	942390	n/a	n/a
196.5764	0.0002	Stimulus/S128	2	982882	n/a	n/a
202.6604	0.0002	Stimulus/S128	2	1013302	n/a	n/a
210.7244	0.0002	Stimulus/S128	2	1053622	n/a	n/a
217.7944	0.0002	Stimulus/S128	2	1088972	n/a	n/a
225.8648	0.0002	Stimulus/S128	2	1129324	n/a	n/a
232.9284	0.0002	Stimulus/S128	2	1164642	n/a	n/a
238.9916	0.0002	Stimulus/S128	2	1194958	n/a	n/a
246.0688	0.0002	Stimulus/S128	2	1230344	n/a	n/a
253.1462	0.0002	Stimulus/S128	2	1265731	n/a	n/a
261.2096	0.0002	Stimulus/S128	2	1306048	n/a	n/a
269.2872	0.0002	Stimulus/S128	2	1346436	n/a	n/a
276.3574	0.0002	Stimulus/S128	2	1381787	n/a	n/a
284.421	0.0002	Stimulus/S128	2	1422105	n/a	n/a
290.4914	0.0002	Stimulus/S128	2	1452457	n/a	n/a
297.5686	0.0002	Stimulus/S128	2	1487843	n/a	n/a
304.639	0.0002	Stimulus/S128	2	1523195	n/a	n/a
312.7302	0.0002	Stimulus/S128	2	1563651	n/a	n/a
320.8078	0.0002	Stimulus/S128	2	1604039	n/a	n/a
326.8988	0.0002	Stimulus/S128	2	1634494	n/a	n/a
332.976	0.0002	Stimulus/S128	2	1664880	n/a	n/a
341.0396	0.0002	Stimulus/S128	2	1705198	n/a	n/a
347.1098	0.0002	Stimulus/S128	2	1735549	n/a	n/a
354.187	0.0002	Stimulus/S128	2	1770935	n/a	n/a
360.2712	0.0002	Stimulus/S128	2	1801356	n/a	n/a
366.3344	0.0002	Stimulus/S128	2	1831672	n/a	n/a
373.4186	0.0002	Stimulus/S128	2	1867093	n/a	n/a
379.4824	0.0002	Stimulus/S128	2	1897412	n/a	n/a
