onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
18.8914	0.0002	Stimulus/S128	2	94457	n/a	n/a
24.9614	0.0002	Stimulus/S128	2	124807	n/a	n/a
32.0318	0.0002	Stimulus/S128	2	160159	n/a	n/a
39.1022	0.0002	Stimulus/S128	2	195511	n/a	n/a
45.1862	0.0002	Stimulus/S128	2	225931	n/a	n/a
51.2496	0.0002	Stimulus/S128	2	256248	n/a	n/a
57.32	0.0002	Stimulus/S128	2	286600	n/a	n/a
65.3902	0.0002	Stimulus/S128	2	326951	n/a	n/a
72.4608	0.0002	Stimulus/S128	2	362304	n/a	n/a
80.5312	0.0002	Stimulus/S128	2	402656	n/a	n/a
87.6086	0.0002	Stimulus/S128	2	438043	n/a	n/a
93.6718	0.0002	Stimulus/S128	2	468359	n/a	n/a
99.735	0.0002	Stimulus/S128	2	498675	n/a	n/a
107.8056	0.0002	Stimulus/S128	2	539028	n/a	n/a
115.8692	0.0002	Stimulus/S128	2	579346	n/a	n/a
121.9394	0.0002	Stimulus/S128	2	609697	n/a	n/a
128.0096	0.0002	Stimulus/S128	2	640048	n/a	n/a
134.0728	0.0002	Stimulus/S128	2	670364	n/a	n/a
141.15	0.0002	Stimulus/S128	2	705750	n/a	n/a
149.2206	0.0002	Stimulus/S128	2	746103	n/a	n/a
155.284	0.0002	Stimulus/S128	2	776420	n/a	n/a
162.3472	0.0002	Stimulus/S128	2	811736	n/a	n/a
168.4106	0.0002	Stimulus/S128	2	842053	n/a	n/a
174.481	0.0002	Stimulus/S128	2	872405	n/a	n/a
180.551	0.0002	Stimulus/S128	2	902755	n/a	n/a
186.6282	0.0002	Stimulus/S128	2	933141	n/a	n/a
194.6918	0.0002	Stimulus/S128	2	973459	n/a	n/a
201.7676	0.0002	Stimulus/S128	2	1008838	n/a	n/a
208.8534	0.0002	Stimulus/S128	2	1044267	n/a	n/a
216.924	0.0002	Stimulus/S128	2	1084620	n/a	n/a
224.008	0.0002	Stimulus/S128	2	1120040	n/a	n/a
231.0784	0.0002	Stimulus/S128	2	1155392	n/a	n/a
238.1418	0.0002	Stimulus/S128	2	1190709	n/a	n/a
246.2054	0.0002	Stimulus/S128	2	1231027	n/a	n/a
253.2688	0.0002	Stimulus/S128	2	1266344	n/a	n/a
259.3322	0.0002	Stimulus/S128	2	1296661	n/a	n/a
265.3954	0.0002	Stimulus/S128	2	1326977	n/a	n/a
273.4658	0.0002	Stimulus/S128	2	1367329	n/a	n/a
279.543	0.0002	Stimulus/S128	2	1397715	n/a	n/a
287.6066	0.0002	Stimulus/S128	2	1438033	n/a	n/a
295.684	0.0002	Stimulus/S128	2	1478420	n/a	n/a
303.7546	0.0002	Stimulus/S128	2	1518773	n/a	n/a
310.8248	0.0002	Stimulus/S128	2	1554124	n/a	n/a
317.8884	0.0002	Stimulus/S128	2	1589442	n/a	n/a
325.9782	0.0002	Stimulus/S128	2	1629891	n/a	n/a
334.0432	0.0002	Stimulus/S128	2	1670216	n/a	n/a
342.1136	0.0002	Stimulus/S128	2	1710568	n/a	n/a
348.1908	0.0002	Stimulus/S128	2	1740954	n/a	n/a
355.2544	0.0002	Stimulus/S128	2	1776272	n/a	n/a
363.3178	0.0002	Stimulus/S128	2	1816589	n/a	n/a
370.3882	0.0002	Stimulus/S128	2	1851941	n/a	n/a
377.4586	0.0002	Stimulus/S128	2	1887293	n/a	n/a
384.529	0.0002	Stimulus/S128	2	1922645	n/a	n/a
392.5926	0.0002	Stimulus/S128	2	1962963	n/a	n/a
