onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
6.1548	0.0002	Stimulus/S128	2	30774	n/a	n/a
12.9888	0.0002	Stimulus/S128	2	64944	n/a	n/a
19.8232	0.0002	Stimulus/S128	2	99116	n/a	n/a
27.6574	0.0002	Stimulus/S128	2	138287	n/a	n/a
34.4918	0.0002	Stimulus/S128	2	172459	n/a	n/a
41.3258	0.0002	Stimulus/S128	2	206629	n/a	n/a
49.1604	0.0002	Stimulus/S128	2	245802	n/a	n/a
54.9944	0.0002	Stimulus/S128	2	274972	n/a	n/a
62.8286	0.0002	Stimulus/S128	2	314143	n/a	n/a
69.6628	0.0002	Stimulus/S128	2	348314	n/a	n/a
77.4972	0.0002	Stimulus/S128	2	387486	n/a	n/a
85.3316	0.0002	Stimulus/S128	2	426658	n/a	n/a
93.1658	0.0002	Stimulus/S128	2	465829	n/a	n/a
99.0	0.0002	Stimulus/S128	2	495000	n/a	n/a
105.8342	0.0002	Stimulus/S128	2	529171	n/a	n/a
111.6682	0.0002	Stimulus/S128	2	558341	n/a	n/a
117.5024	0.0002	Stimulus/S128	2	587512	n/a	n/a
125.3368	0.0002	Stimulus/S128	2	626684	n/a	n/a
132.171	0.0002	Stimulus/S128	2	660855	n/a	n/a
138.005	0.0002	Stimulus/S128	2	690025	n/a	n/a
145.8394	0.0002	Stimulus/S128	2	729197	n/a	n/a
152.6736	0.0002	Stimulus/S128	2	763368	n/a	n/a
158.5078	0.0002	Stimulus/S128	2	792539	n/a	n/a
165.3418	0.0002	Stimulus/S128	2	826709	n/a	n/a
171.176	0.0002	Stimulus/S128	2	855880	n/a	n/a
179.0104	0.0002	Stimulus/S128	2	895052	n/a	n/a
185.8498	0.0002	Stimulus/S128	2	929249	n/a	n/a
191.6856	0.0002	Stimulus/S128	2	958428	n/a	n/a
198.5198	0.0002	Stimulus/S128	2	992599	n/a	n/a
206.3542	0.0002	Stimulus/S128	2	1031771	n/a	n/a
214.1884	0.0002	Stimulus/S128	2	1070942	n/a	n/a
222.0228	0.0002	Stimulus/S128	2	1110114	n/a	n/a
229.8572	0.0002	Stimulus/S128	2	1149286	n/a	n/a
237.6916	0.0002	Stimulus/S128	2	1188458	n/a	n/a
245.526	0.0002	Stimulus/S128	2	1227630	n/a	n/a
251.36	0.0002	Stimulus/S128	2	1256800	n/a	n/a
258.1942	0.0002	Stimulus/S128	2	1290971	n/a	n/a
264.0284	0.0002	Stimulus/S128	2	1320142	n/a	n/a
269.8624	0.0002	Stimulus/S128	2	1349312	n/a	n/a
275.6966	0.0002	Stimulus/S128	2	1378483	n/a	n/a
281.5306	0.0002	Stimulus/S128	2	1407653	n/a	n/a
287.3646	0.0002	Stimulus/S128	2	1436823	n/a	n/a
293.1988	0.0002	Stimulus/S128	2	1465994	n/a	n/a
301.0334	0.0002	Stimulus/S128	2	1505167	n/a	n/a
306.8672	0.0002	Stimulus/S128	2	1534336	n/a	n/a
314.7016	0.0002	Stimulus/S128	2	1573508	n/a	n/a
321.5358	0.0002	Stimulus/S128	2	1607679	n/a	n/a
328.37	0.0002	Stimulus/S128	2	1641850	n/a	n/a
335.2044	0.0002	Stimulus/S128	2	1676022	n/a	n/a
342.0384	0.0002	Stimulus/S128	2	1710192	n/a	n/a
348.8726	0.0002	Stimulus/S128	2	1744363	n/a	n/a
354.7068	0.0002	Stimulus/S128	2	1773534	n/a	n/a
362.541	0.0002	Stimulus/S128	2	1812705	n/a	n/a
369.3752	0.0002	Stimulus/S128	2	1846876	n/a	n/a
