onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
6.1152	0.0002	Stimulus/S128	2	30576	n/a	n/a
13.192	0.0002	Stimulus/S128	2	65960	n/a	n/a
20.2832	0.0002	Stimulus/S128	2	101416	n/a	n/a
27.3468	0.0002	Stimulus/S128	2	136734	n/a	n/a
34.417	0.0002	Stimulus/S128	2	172085	n/a	n/a
42.4874	0.0002	Stimulus/S128	2	212437	n/a	n/a
50.5648	0.0002	Stimulus/S128	2	252824	n/a	n/a
58.6284	0.0002	Stimulus/S128	2	293142	n/a	n/a
66.7058	0.0002	Stimulus/S128	2	333529	n/a	n/a
72.7762	0.0002	Stimulus/S128	2	363881	n/a	n/a
80.8536	0.0002	Stimulus/S128	2	404268	n/a	n/a
88.945	0.0002	Stimulus/S128	2	444725	n/a	n/a
96.0222	0.0002	Stimulus/S128	2	480111	n/a	n/a
103.1134	0.0002	Stimulus/S128	2	515567	n/a	n/a
110.1838	0.0002	Stimulus/S128	2	550919	n/a	n/a
118.2542	0.0002	Stimulus/S128	2	591271	n/a	n/a
126.3178	0.0002	Stimulus/S128	2	631589	n/a	n/a
132.388	0.0002	Stimulus/S128	2	661940	n/a	n/a
139.4584	0.0002	Stimulus/S128	2	697292	n/a	n/a
145.5356	0.0002	Stimulus/S128	2	727678	n/a	n/a
153.62	0.0002	Stimulus/S128	2	768100	n/a	n/a
159.6972	0.0002	Stimulus/S128	2	798486	n/a	n/a
167.7816	0.0002	Stimulus/S128	2	838908	n/a	n/a
173.8586	0.0002	Stimulus/S128	2	869293	n/a	n/a
180.929	0.0002	Stimulus/S128	2	904645	n/a	n/a
187.9924	0.0002	Stimulus/S128	2	939962	n/a	n/a
196.0628	0.0002	Stimulus/S128	2	980314	n/a	n/a
203.1472	0.0002	Stimulus/S128	2	1015736	n/a	n/a
211.2176	0.0002	Stimulus/S128	2	1056088	n/a	n/a
217.3018	0.0002	Stimulus/S128	2	1086509	n/a	n/a
225.3792	0.0002	Stimulus/S128	2	1126896	n/a	n/a
231.4702	0.0002	Stimulus/S128	2	1157351	n/a	n/a
238.5406	0.0002	Stimulus/S128	2	1192703	n/a	n/a
245.611	0.0002	Stimulus/S128	2	1228055	n/a	n/a
251.6812	0.0002	Stimulus/S128	2	1258406	n/a	n/a
257.7444	0.0002	Stimulus/S128	2	1288722	n/a	n/a
265.8428	0.0002	Stimulus/S128	2	1329214	n/a	n/a
272.9062	0.0002	Stimulus/S128	2	1364531	n/a	n/a
278.9694	0.0002	Stimulus/S128	2	1394847	n/a	n/a
285.0398	0.0002	Stimulus/S128	2	1425199	n/a	n/a
293.1102	0.0002	Stimulus/S128	2	1465551	n/a	n/a
300.1736	0.0002	Stimulus/S128	2	1500868	n/a	n/a
307.244	0.0002	Stimulus/S128	2	1536220	n/a	n/a
313.321	0.0002	Stimulus/S128	2	1566605	n/a	n/a
319.3982	0.0002	Stimulus/S128	2	1596991	n/a	n/a
325.4686	0.0002	Stimulus/S128	2	1627343	n/a	n/a
331.5596	0.0002	Stimulus/S128	2	1657798	n/a	n/a
339.63	0.0002	Stimulus/S128	2	1698150	n/a	n/a
345.7072	0.0002	Stimulus/S128	2	1728536	n/a	n/a
353.7778	0.0002	Stimulus/S128	2	1768889	n/a	n/a
359.848	0.0002	Stimulus/S128	2	1799240	n/a	n/a
365.9182	0.0002	Stimulus/S128	2	1829591	n/a	n/a
372.9886	0.0002	Stimulus/S128	2	1864943	n/a	n/a
381.059	0.0002	Stimulus/S128	2	1905295	n/a	n/a
