onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
4.821	0.0002	Stimulus/S128	2	24105	n/a	n/a
11.8914	0.0002	Stimulus/S128	2	59457	n/a	n/a
19.9758	0.0002	Stimulus/S128	2	99879	n/a	n/a
28.0532	0.0002	Stimulus/S128	2	140266	n/a	n/a
35.1166	0.0002	Stimulus/S128	2	175583	n/a	n/a
41.1868	0.0002	Stimulus/S128	2	205934	n/a	n/a
49.2698	0.0002	Stimulus/S128	2	246349	n/a	n/a
57.3346	0.0002	Stimulus/S128	2	286673	n/a	n/a
63.405	0.0002	Stimulus/S128	2	317025	n/a	n/a
69.4752	0.0002	Stimulus/S128	2	347376	n/a	n/a
76.5388	0.0002	Stimulus/S128	2	382694	n/a	n/a
83.616	0.0002	Stimulus/S128	2	418080	n/a	n/a
91.6794	0.0002	Stimulus/S128	2	458397	n/a	n/a
98.7566	0.0002	Stimulus/S128	2	493783	n/a	n/a
105.8202	0.0002	Stimulus/S128	2	529101	n/a	n/a
111.8904	0.0002	Stimulus/S128	2	559452	n/a	n/a
119.9608	0.0002	Stimulus/S128	2	599804	n/a	n/a
127.0242	0.0002	Stimulus/S128	2	635121	n/a	n/a
133.0874	0.0002	Stimulus/S128	2	665437	n/a	n/a
139.1646	0.0002	Stimulus/S128	2	695823	n/a	n/a
147.235	0.0002	Stimulus/S128	2	736175	n/a	n/a
154.3054	0.0002	Stimulus/S128	2	771527	n/a	n/a
161.3688	0.0002	Stimulus/S128	2	806844	n/a	n/a
168.4322	0.0002	Stimulus/S128	2	842161	n/a	n/a
174.4956	0.0002	Stimulus/S128	2	872478	n/a	n/a
180.5798	0.0002	Stimulus/S128	2	902899	n/a	n/a
188.6432	0.0002	Stimulus/S128	2	943216	n/a	n/a
194.7272	0.0002	Stimulus/S128	2	973636	n/a	n/a
202.7908	0.0002	Stimulus/S128	2	1013954	n/a	n/a
208.854	0.0002	Stimulus/S128	2	1044270	n/a	n/a
215.9174	0.0002	Stimulus/S128	2	1079587	n/a	n/a
221.9808	0.0002	Stimulus/S128	2	1109904	n/a	n/a
228.058	0.0002	Stimulus/S128	2	1140290	n/a	n/a
236.1284	0.0002	Stimulus/S128	2	1180642	n/a	n/a
243.1918	0.0002	Stimulus/S128	2	1215959	n/a	n/a
249.255	0.0002	Stimulus/S128	2	1246275	n/a	n/a
255.3184	0.0002	Stimulus/S128	2	1276592	n/a	n/a
261.3886	0.0002	Stimulus/S128	2	1306943	n/a	n/a
267.4658	0.0002	Stimulus/S128	2	1337329	n/a	n/a
273.529	0.0002	Stimulus/S128	2	1367645	n/a	n/a
281.5996	0.0002	Stimulus/S128	2	1407998	n/a	n/a
288.6838	0.0002	Stimulus/S128	2	1443419	n/a	n/a
296.7682	0.0002	Stimulus/S128	2	1483841	n/a	n/a
303.8454	0.0002	Stimulus/S128	2	1519227	n/a	n/a
311.9158	0.0002	Stimulus/S128	2	1559579	n/a	n/a
318.9862	0.0002	Stimulus/S128	2	1594931	n/a	n/a
327.064	0.0002	Stimulus/S128	2	1635320	n/a	n/a
334.141	0.0002	Stimulus/S128	2	1670705	n/a	n/a
342.2046	0.0002	Stimulus/S128	2	1711023	n/a	n/a
350.2688	0.0002	Stimulus/S128	2	1751344	n/a	n/a
357.3314	0.0002	Stimulus/S128	2	1786657	n/a	n/a
365.402	0.0002	Stimulus/S128	2	1827010	n/a	n/a
372.4792	0.0002	Stimulus/S128	2	1862396	n/a	n/a
378.5634	0.0002	Stimulus/S128	2	1892817	n/a	n/a
