onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
17.509	0.0002	Stimulus/S128	2	87545	n/a	n/a
23.343	0.0002	Stimulus/S128	2	116715	n/a	n/a
29.177	0.0002	Stimulus/S128	2	145885	n/a	n/a
35.011	0.0002	Stimulus/S128	2	175055	n/a	n/a
41.8454	0.0002	Stimulus/S128	2	209227	n/a	n/a
48.6796	0.0002	Stimulus/S128	2	243398	n/a	n/a
55.5138	0.0002	Stimulus/S128	2	277569	n/a	n/a
62.348	0.0002	Stimulus/S128	2	311740	n/a	n/a
69.1822	0.0002	Stimulus/S128	2	345911	n/a	n/a
77.0164	0.0002	Stimulus/S128	2	385082	n/a	n/a
82.8506	0.0002	Stimulus/S128	2	414253	n/a	n/a
88.6846	0.0002	Stimulus/S128	2	443423	n/a	n/a
96.519	0.0002	Stimulus/S128	2	482595	n/a	n/a
103.3532	0.0002	Stimulus/S128	2	516766	n/a	n/a
109.1874	0.0002	Stimulus/S128	2	545937	n/a	n/a
116.0214	0.0002	Stimulus/S128	2	580107	n/a	n/a
121.8556	0.0002	Stimulus/S128	2	609278	n/a	n/a
129.69	0.0002	Stimulus/S128	2	648450	n/a	n/a
135.524	0.0002	Stimulus/S128	2	677620	n/a	n/a
142.3582	0.0002	Stimulus/S128	2	711791	n/a	n/a
150.1926	0.0002	Stimulus/S128	2	750963	n/a	n/a
157.0268	0.0002	Stimulus/S128	2	785134	n/a	n/a
164.861	0.0002	Stimulus/S128	2	824305	n/a	n/a
172.6954	0.0002	Stimulus/S128	2	863477	n/a	n/a
180.5298	0.0002	Stimulus/S128	2	902649	n/a	n/a
187.364	0.0002	Stimulus/S128	2	936820	n/a	n/a
193.198	0.0002	Stimulus/S128	2	965990	n/a	n/a
200.0324	0.0002	Stimulus/S128	2	1000162	n/a	n/a
206.8664	0.0002	Stimulus/S128	2	1034332	n/a	n/a
212.7008	0.0002	Stimulus/S128	2	1063504	n/a	n/a
220.535	0.0002	Stimulus/S128	2	1102675	n/a	n/a
226.3692	0.0002	Stimulus/S128	2	1131846	n/a	n/a
232.2034	0.0002	Stimulus/S128	2	1161017	n/a	n/a
238.0372	0.0002	Stimulus/S128	2	1190186	n/a	n/a
245.8714	0.0002	Stimulus/S128	2	1229357	n/a	n/a
253.7058	0.0002	Stimulus/S128	2	1268529	n/a	n/a
261.5402	0.0002	Stimulus/S128	2	1307701	n/a	n/a
267.3744	0.0002	Stimulus/S128	2	1336872	n/a	n/a
275.2086	0.0002	Stimulus/S128	2	1376043	n/a	n/a
281.0428	0.0002	Stimulus/S128	2	1405214	n/a	n/a
287.8768	0.0002	Stimulus/S128	2	1439384	n/a	n/a
293.711	0.0002	Stimulus/S128	2	1468555	n/a	n/a
301.5454	0.0002	Stimulus/S128	2	1507727	n/a	n/a
309.3796	0.0002	Stimulus/S128	2	1546898	n/a	n/a
317.214	0.0002	Stimulus/S128	2	1586070	n/a	n/a
324.0482	0.0002	Stimulus/S128	2	1620241	n/a	n/a
330.8824	0.0002	Stimulus/S128	2	1654412	n/a	n/a
337.7166	0.0002	Stimulus/S128	2	1688583	n/a	n/a
345.551	0.0002	Stimulus/S128	2	1727755	n/a	n/a
353.3854	0.0002	Stimulus/S128	2	1766927	n/a	n/a
359.2196	0.0002	Stimulus/S128	2	1796098	n/a	n/a
366.0538	0.0002	Stimulus/S128	2	1830269	n/a	n/a
373.888	0.0002	Stimulus/S128	2	1869440	n/a	n/a
379.7222	0.0002	Stimulus/S128	2	1898611	n/a	n/a
