onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
6.9128	0.0002	Stimulus/S128	2	34564	n/a	n/a
12.997	0.0002	Stimulus/S128	2	64985	n/a	n/a
20.0742	0.0002	Stimulus/S128	2	100371	n/a	n/a
28.1586	0.0002	Stimulus/S128	2	140793	n/a	n/a
34.2358	0.0002	Stimulus/S128	2	171179	n/a	n/a
42.3062	0.0002	Stimulus/S128	2	211531	n/a	n/a
48.3764	0.0002	Stimulus/S128	2	241882	n/a	n/a
54.4536	0.0002	Stimulus/S128	2	272268	n/a	n/a
60.5168	0.0002	Stimulus/S128	2	302584	n/a	n/a
68.5944	0.0002	Stimulus/S128	2	342972	n/a	n/a
74.6716	0.0002	Stimulus/S128	2	373358	n/a	n/a
82.742	0.0002	Stimulus/S128	2	413710	n/a	n/a
89.8192	0.0002	Stimulus/S128	2	449096	n/a	n/a
95.8894	0.0002	Stimulus/S128	2	479447	n/a	n/a
102.9528	0.0002	Stimulus/S128	2	514764	n/a	n/a
110.0162	0.0002	Stimulus/S128	2	550081	n/a	n/a
117.0796	0.0002	Stimulus/S128	2	585398	n/a	n/a
125.1502	0.0002	Stimulus/S128	2	625751	n/a	n/a
132.2136	0.0002	Stimulus/S128	2	661068	n/a	n/a
140.2774	0.0002	Stimulus/S128	2	701387	n/a	n/a
148.3406	0.0002	Stimulus/S128	2	741703	n/a	n/a
156.418	0.0002	Stimulus/S128	2	782090	n/a	n/a
164.4816	0.0002	Stimulus/S128	2	822408	n/a	n/a
172.5522	0.0002	Stimulus/S128	2	862761	n/a	n/a
178.6154	0.0002	Stimulus/S128	2	893077	n/a	n/a
185.6788	0.0002	Stimulus/S128	2	928394	n/a	n/a
192.7492	0.0002	Stimulus/S128	2	963746	n/a	n/a
200.8196	0.0002	Stimulus/S128	2	1004098	n/a	n/a
208.904	0.0002	Stimulus/S128	2	1044520	n/a	n/a
216.9746	0.0002	Stimulus/S128	2	1084873	n/a	n/a
224.0656	0.0002	Stimulus/S128	2	1120328	n/a	n/a
230.136	0.0002	Stimulus/S128	2	1150680	n/a	n/a
237.1992	0.0002	Stimulus/S128	2	1185996	n/a	n/a
245.2628	0.0002	Stimulus/S128	2	1226314	n/a	n/a
251.34	0.0002	Stimulus/S128	2	1256700	n/a	n/a
257.4102	0.0002	Stimulus/S128	2	1287051	n/a	n/a
265.4738	0.0002	Stimulus/S128	2	1327369	n/a	n/a
271.5578	0.0002	Stimulus/S128	2	1357789	n/a	n/a
278.6212	0.0002	Stimulus/S128	2	1393106	n/a	n/a
285.6986	0.0002	Stimulus/S128	2	1428493	n/a	n/a
292.7688	0.0002	Stimulus/S128	2	1463844	n/a	n/a
298.8392	0.0002	Stimulus/S128	2	1494196	n/a	n/a
305.9164	0.0002	Stimulus/S128	2	1529582	n/a	n/a
311.9868	0.0002	Stimulus/S128	2	1559934	n/a	n/a
318.05	0.0002	Stimulus/S128	2	1590250	n/a	n/a
325.1342	0.0002	Stimulus/S128	2	1625671	n/a	n/a
331.2114	0.0002	Stimulus/S128	2	1656057	n/a	n/a
339.2888	0.0002	Stimulus/S128	2	1696444	n/a	n/a
346.3522	0.0002	Stimulus/S128	2	1731761	n/a	n/a
352.4224	0.0002	Stimulus/S128	2	1762112	n/a	n/a
358.4856	0.0002	Stimulus/S128	2	1792428	n/a	n/a
365.549	0.0002	Stimulus/S128	2	1827745	n/a	n/a
372.6334	0.0002	Stimulus/S128	2	1863167	n/a	n/a
380.7038	0.0002	Stimulus/S128	2	1903519	n/a	n/a
