onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
5.6234	0.0002	Stimulus/S128	2	28117	n/a	n/a
12.7006	0.0002	Stimulus/S128	2	63503	n/a	n/a
20.7642	0.0002	Stimulus/S128	2	103821	n/a	n/a
28.8276	0.0002	Stimulus/S128	2	144138	n/a	n/a
36.8912	0.0002	Stimulus/S128	2	184456	n/a	n/a
43.9546	0.0002	Stimulus/S128	2	219773	n/a	n/a
52.0458	0.0002	Stimulus/S128	2	260229	n/a	n/a
59.1232	0.0002	Stimulus/S128	2	295616	n/a	n/a
65.228	0.0002	Stimulus/S128	2	326140	n/a	n/a
72.2984	0.0002	Stimulus/S128	2	361492	n/a	n/a
79.3688	0.0002	Stimulus/S128	2	396844	n/a	n/a
85.4444	0.0002	Stimulus/S128	2	427222	n/a	n/a
91.5092	0.0002	Stimulus/S128	2	457546	n/a	n/a
99.5798	0.0002	Stimulus/S128	2	497899	n/a	n/a
107.6458	0.0002	Stimulus/S128	2	538229	n/a	n/a
113.7204	0.0002	Stimulus/S128	2	568602	n/a	n/a
121.784	0.0002	Stimulus/S128	2	608920	n/a	n/a
127.8472	0.0002	Stimulus/S128	2	639236	n/a	n/a
134.9246	0.0002	Stimulus/S128	2	674623	n/a	n/a
143.002	0.0002	Stimulus/S128	2	715010	n/a	n/a
149.0722	0.0002	Stimulus/S128	2	745361	n/a	n/a
157.1426	0.0002	Stimulus/S128	2	785713	n/a	n/a
163.2198	0.0002	Stimulus/S128	2	816099	n/a	n/a
171.2904	0.0002	Stimulus/S128	2	856452	n/a	n/a
178.3538	0.0002	Stimulus/S128	2	891769	n/a	n/a
185.4242	0.0002	Stimulus/S128	2	927121	n/a	n/a
192.4876	0.0002	Stimulus/S128	2	962438	n/a	n/a
200.5512	0.0002	Stimulus/S128	2	1002756	n/a	n/a
207.6284	0.0002	Stimulus/S128	2	1038142	n/a	n/a
213.7124	0.0002	Stimulus/S128	2	1068562	n/a	n/a
221.79	0.0002	Stimulus/S128	2	1108950	n/a	n/a
228.8742	0.0002	Stimulus/S128	2	1144371	n/a	n/a
235.9446	0.0002	Stimulus/S128	2	1179723	n/a	n/a
243.0078	0.0002	Stimulus/S128	2	1215039	n/a	n/a
249.078	0.0002	Stimulus/S128	2	1245390	n/a	n/a
255.1482	0.0002	Stimulus/S128	2	1275741	n/a	n/a
261.2118	0.0002	Stimulus/S128	2	1306059	n/a	n/a
269.289	0.0002	Stimulus/S128	2	1346445	n/a	n/a
275.3592	0.0002	Stimulus/S128	2	1376796	n/a	n/a
283.4296	0.0002	Stimulus/S128	2	1417148	n/a	n/a
289.493	0.0002	Stimulus/S128	2	1447465	n/a	n/a
295.5562	0.0002	Stimulus/S128	2	1477781	n/a	n/a
302.6196	0.0002	Stimulus/S128	2	1513098	n/a	n/a
308.6968	0.0002	Stimulus/S128	2	1543484	n/a	n/a
316.7674	0.0002	Stimulus/S128	2	1583837	n/a	n/a
323.8376	0.0002	Stimulus/S128	2	1619188	n/a	n/a
331.9116	0.0002	Stimulus/S128	2	1659558	n/a	n/a
337.9784	0.0002	Stimulus/S128	2	1689892	n/a	n/a
344.0554	0.0002	Stimulus/S128	2	1720277	n/a	n/a
352.126	0.0002	Stimulus/S128	2	1760630	n/a	n/a
359.2032	0.0002	Stimulus/S128	2	1796016	n/a	n/a
366.2666	0.0002	Stimulus/S128	2	1831333	n/a	n/a
373.33	0.0002	Stimulus/S128	2	1866650	n/a	n/a
381.3936	0.0002	Stimulus/S128	2	1906968	n/a	n/a
