onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
6.561	0.0002	Stimulus/S128	2	32805	n/a	n/a
12.4016	0.0002	Stimulus/S128	2	62008	n/a	n/a
20.2428	0.0002	Stimulus/S128	2	101214	n/a	n/a
26.0838	0.0002	Stimulus/S128	2	130419	n/a	n/a
31.9304	0.0002	Stimulus/S128	2	159652	n/a	n/a
37.773	0.0002	Stimulus/S128	2	188865	n/a	n/a
45.6142	0.0002	Stimulus/S128	2	228071	n/a	n/a
52.4554	0.0002	Stimulus/S128	2	262277	n/a	n/a
58.2964	0.0002	Stimulus/S128	2	291482	n/a	n/a
66.1376	0.0002	Stimulus/S128	2	330688	n/a	n/a
71.9786	0.0002	Stimulus/S128	2	359893	n/a	n/a
79.82	0.0002	Stimulus/S128	2	399100	n/a	n/a
87.6612	0.0002	Stimulus/S128	2	438306	n/a	n/a
94.5024	0.0002	Stimulus/S128	2	472512	n/a	n/a
102.3438	0.0002	Stimulus/S128	2	511719	n/a	n/a
109.185	0.0002	Stimulus/S128	2	545925	n/a	n/a
116.026	0.0002	Stimulus/S128	2	580130	n/a	n/a
122.8688	0.0002	Stimulus/S128	2	614344	n/a	n/a
129.7084	0.0002	Stimulus/S128	2	648542	n/a	n/a
137.5498	0.0002	Stimulus/S128	2	687749	n/a	n/a
143.3906	0.0002	Stimulus/S128	2	716953	n/a	n/a
149.2318	0.0002	Stimulus/S128	2	746159	n/a	n/a
156.0728	0.0002	Stimulus/S128	2	780364	n/a	n/a
162.914	0.0002	Stimulus/S128	2	814570	n/a	n/a
168.755	0.0002	Stimulus/S128	2	843775	n/a	n/a
176.5964	0.0002	Stimulus/S128	2	882982	n/a	n/a
184.4376	0.0002	Stimulus/S128	2	922188	n/a	n/a
191.2788	0.0002	Stimulus/S128	2	956394	n/a	n/a
198.1198	0.0002	Stimulus/S128	2	990599	n/a	n/a
205.9612	0.0002	Stimulus/S128	2	1029806	n/a	n/a
213.8024	0.0002	Stimulus/S128	2	1069012	n/a	n/a
221.6438	0.0002	Stimulus/S128	2	1108219	n/a	n/a
228.485	0.0002	Stimulus/S128	2	1142425	n/a	n/a
235.3314	0.0002	Stimulus/S128	2	1176657	n/a	n/a
242.1744	0.0002	Stimulus/S128	2	1210872	n/a	n/a
249.0154	0.0002	Stimulus/S128	2	1245077	n/a	n/a
256.8566	0.0002	Stimulus/S128	2	1284283	n/a	n/a
264.698	0.0002	Stimulus/S128	2	1323490	n/a	n/a
270.539	0.0002	Stimulus/S128	2	1352695	n/a	n/a
277.3802	0.0002	Stimulus/S128	2	1386901	n/a	n/a
283.2212	0.0002	Stimulus/S128	2	1416106	n/a	n/a
289.0622	0.0002	Stimulus/S128	2	1445311	n/a	n/a
296.9034	0.0002	Stimulus/S128	2	1484517	n/a	n/a
304.7448	0.0002	Stimulus/S128	2	1523724	n/a	n/a
311.5858	0.0002	Stimulus/S128	2	1557929	n/a	n/a
319.4272	0.0002	Stimulus/S128	2	1597136	n/a	n/a
325.2684	0.0002	Stimulus/S128	2	1626342	n/a	n/a
332.1094	0.0002	Stimulus/S128	2	1660547	n/a	n/a
337.9504	0.0002	Stimulus/S128	2	1689752	n/a	n/a
343.7914	0.0002	Stimulus/S128	2	1718957	n/a	n/a
349.6324	0.0002	Stimulus/S128	2	1748162	n/a	n/a
355.4736	0.0002	Stimulus/S128	2	1777368	n/a	n/a
361.3146	0.0002	Stimulus/S128	2	1806573	n/a	n/a
369.1558	0.0002	Stimulus/S128	2	1845779	n/a	n/a
