onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	n/a	n/a
6.9258	0.0002	Stimulus/S128	2	34629	n/a	n/a
15.0124	0.0002	Stimulus/S128	2	75062	n/a	n/a
23.083	0.0002	Stimulus/S128	2	115415	n/a	n/a
29.1532	0.0002	Stimulus/S128	2	145766	n/a	n/a
35.2234	0.0002	Stimulus/S128	2	176117	n/a	n/a
42.3008	0.0002	Stimulus/S128	2	211504	n/a	n/a
48.3848	0.0002	Stimulus/S128	2	241924	n/a	n/a
55.4552	0.0002	Stimulus/S128	2	277276	n/a	n/a
63.5188	0.0002	Stimulus/S128	2	317594	n/a	n/a
71.6104	0.0002	Stimulus/S128	2	358052	n/a	n/a
78.6804	0.0002	Stimulus/S128	2	393402	n/a	n/a
84.7436	0.0002	Stimulus/S128	2	423718	n/a	n/a
92.8126	0.0002	Stimulus/S128	2	464063	n/a	n/a
98.8774	0.0002	Stimulus/S128	2	494387	n/a	n/a
104.9478	0.0002	Stimulus/S128	2	524739	n/a	n/a
111.0178	0.0002	Stimulus/S128	2	555089	n/a	n/a
117.0814	0.0002	Stimulus/S128	2	585407	n/a	n/a
124.1446	0.0002	Stimulus/S128	2	620723	n/a	n/a
131.208	0.0002	Stimulus/S128	2	656040	n/a	n/a
137.2712	0.0002	Stimulus/S128	2	686356	n/a	n/a
145.3348	0.0002	Stimulus/S128	2	726674	n/a	n/a
151.398	0.0002	Stimulus/S128	2	756990	n/a	n/a
159.4616	0.0002	Stimulus/S128	2	797308	n/a	n/a
166.532	0.0002	Stimulus/S128	2	832660	n/a	n/a
174.5954	0.0002	Stimulus/S128	2	872977	n/a	n/a
181.6728	0.0002	Stimulus/S128	2	908364	n/a	n/a
188.7502	0.0002	Stimulus/S128	2	943751	n/a	n/a
196.8486	0.0002	Stimulus/S128	2	984243	n/a	n/a
203.9256	0.0002	Stimulus/S128	2	1019628	n/a	n/a
212.01	0.0002	Stimulus/S128	2	1060050	n/a	n/a
220.0806	0.0002	Stimulus/S128	2	1100403	n/a	n/a
226.1718	0.0002	Stimulus/S128	2	1130859	n/a	n/a
233.2488	0.0002	Stimulus/S128	2	1166244	n/a	n/a
241.3124	0.0002	Stimulus/S128	2	1206562	n/a	n/a
248.3758	0.0002	Stimulus/S128	2	1241879	n/a	n/a
255.4394	0.0002	Stimulus/S128	2	1277197	n/a	n/a
263.5446	0.0002	Stimulus/S128	2	1317723	n/a	n/a
270.6218	0.0002	Stimulus/S128	2	1353109	n/a	n/a
278.706	0.0002	Stimulus/S128	2	1393530	n/a	n/a
284.7762	0.0002	Stimulus/S128	2	1423881	n/a	n/a
290.8466	0.0002	Stimulus/S128	2	1454233	n/a	n/a
298.91	0.0002	Stimulus/S128	2	1494550	n/a	n/a
305.9734	0.0002	Stimulus/S128	2	1529867	n/a	n/a
312.0576	0.0002	Stimulus/S128	2	1560288	n/a	n/a
319.1348	0.0002	Stimulus/S128	2	1595674	n/a	n/a
325.2258	0.0002	Stimulus/S128	2	1626129	n/a	n/a
332.2962	0.0002	Stimulus/S128	2	1661481	n/a	n/a
340.3668	0.0002	Stimulus/S128	2	1701834	n/a	n/a
346.43	0.0002	Stimulus/S128	2	1732150	n/a	n/a
354.4936	0.0002	Stimulus/S128	2	1772468	n/a	n/a
360.6402	0.0002	Stimulus/S128	2	1803201	n/a	n/a
366.7036	0.0002	Stimulus/S128	2	1833518	n/a	n/a
374.774	0.0002	Stimulus/S128	2	1873870	n/a	n/a
381.8442	0.0002	Stimulus/S128	2	1909221	n/a	n/a
